,0,1,2,3,4
276,0.0,375,-47,-47,-53
277,0.0,375,-47,-47,-53
278,0.0,375,-49,-45,-55
279,0.0,375,-49,-45,-53
280,0.0,375,-49,-49,-51
281,0.0,375,-49,-47,-51
282,0.0,375,-49,-49,-55
283,0.0,375,-49,-49,-53
284,0.0,375,-51,-45,-53
285,0.0,375,-51,-45,-53
286,0.0,375,-49,-43,-49
287,0.0,375,-51,-47,-53
288,0.0,375,-49,-45,-51
289,0.0,375,-51,-43,-49
290,0.0,375,-47,-45,-45
291,0.0,375,-49,-45,-49
292,0.0,375,-51,-45,-49
293,0.0,375,-51,-43,-49
294,0.0,375,-51,-45,-49
295,0.0,375,-51,-45,-49
296,0.0,375,-49,-47,-49
297,0.0,375,-47,-45,-49
298,0.0,375,-49,-45,-51
299,0.0,375,-47,-45,-51
300,0.0,250,-37,-51,-49
301,0.0,250,-39,-55,-49
302,0.0,250,-39,-51,-49
303,0.0,250,-39,-53,-49
304,0.0,250,-37,-51,-47
305,0.0,250,-37,-49,-49
306,0.0,250,-39,-51,-47
307,0.0,250,-39,-51,-47
308,0.0,250,-37,-47,-49
309,0.0,250,-39,-47,-49
310,0.0,250,-37,-51,-49
311,0.0,250,-39,-49,-49
312,0.0,250,-39,-47,-47
313,0.0,250,-39,-49,-47
314,0.0,250,-41,-47,-47
315,0.0,250,-37,-49,-49
316,0.0,250,-41,-47,-47
317,0.0,250,-39,-53,-47
318,0.0,250,-39,-51,-49
319,0.0,250,-39,-53,-47
320,0.0,250,-37,-53,-49
321,0.0,250,-41,-51,-47
322,0.0,250,-39,-55,-47
323,0.0,250,-37,-53,-47
324,0.0,250,-37,-51,-47
325,0.0,250,-41,-51,-49
326,0.0,250,-39,-51,-47
327,0.0,250,-39,-49,-47
328,0.0,250,-37,-51,-47
329,0.0,250,-37,-51,-47
330,0.0,250,-39,-51,-47
331,0.0,250,-37,-49,-47
332,0.0,250,-39,-51,-49
333,0.0,250,-37,-49,-47
334,0.0,250,-41,-49,-49
335,0.0,250,-37,-41,-41
336,0.0,250,-39,-51,-47
337,0.0,250,-37,-51,-49
338,0.0,250,-37,-49,-47
339,0.0,250,-39,-51,-49
340,0.0,250,-37,-49,-49
341,0.0,250,-37,-51,-47
342,0.0,250,-41,-51,-49
343,0.0,250,-37,-51,-47
344,0.0,250,-39,-53,-49
345,0.0,250,-41,-53,-49
346,0.0,250,-39,-53,-47
347,0.0,250,-39,-53,-47
348,0.0,250,-39,-53,-47
349,0.0,250,-41,-53,-49
350,0.0,250,-39,-51,-47
351,0.0,250,-41,-49,-47
352,0.0,250,-39,-49,-49
353,0.0,250,-39,-51,-47
354,0.0,250,-37,-49,-47
355,0.0,250,-39,-51,-47
356,0.0,250,-39,-51,-49
357,0.0,250,-39,-51,-47
358,0.0,250,-39,-51,-49
359,0.0,250,-41,-51,-47
360,0.0,250,-37,-51,-47
361,0.0,250,-39,-51,-47
362,0.0,250,-37,-51,-47
363,0.0,250,-39,-51,-47
364,0.0,250,-39,-49,-43
365,0.0,250,-37,-49,-49
366,0.0,250,-39,-49,-49
367,0.0,250,-37,-51,-49
368,0.0,250,-39,-49,-47
369,0.0,250,-41,-47,-47
370,0.0,250,-39,-47,-49
371,0.0,250,-39,-49,-49
372,0.0,250,-41,-49,-47
373,0.0,250,-39,-51,-47
374,0.0,250,-37,-37,-43
375,0.0,250,-37,-49,-49
376,0.0,250,-39,-49,-47
377,0.0,250,-39,-49,-47
378,0.0,250,-39,-49,-47
379,0.0,250,-39,-49,-47
380,0.0,250,-39,-49,-49
