,0,1,2,3,4
379,90.0,500,-47,-41,-45
380,90.0,500,-47,-39,-47
381,90.0,500,-47,-39,-47
382,90.0,500,-45,-39,-49
383,90.0,500,-47,-41,-49
384,90.0,500,-47,-41,-47
385,90.0,500,-47,-39,-49
386,90.0,500,-47,-39,-47
387,90.0,500,-45,-41,-47
388,90.0,500,-47,-39,-47
389,90.0,500,-43,-39,-47
390,90.0,500,-45,-39,-45
391,90.0,500,-45,-39,-45
392,90.0,500,-45,-41,-45
393,90.0,500,-45,-41,-45
394,90.0,500,-47,-39,-45
395,90.0,500,-47,-37,-47
396,90.0,500,-47,-39,-47
397,90.0,500,-45,-37,-45
398,90.0,500,-47,-39,-47
399,90.0,500,-45,-39,-45
400,90.0,500,-47,-39,-45
401,90.0,500,-45,-39,-45
402,90.0,500,-45,-37,-45
403,90.0,500,-47,-35,-43
404,90.0,500,-47,-39,-45
405,90.0,500,-47,-39,-43
406,90.0,500,-45,-39,-43
407,90.0,500,-45,-39,-45
408,90.0,500,-47,-37,-43
409,90.0,500,-45,-37,-43
410,90.0,500,-45,-37,-47
411,90.0,500,-43,-39,-45
412,90.0,500,-45,-39,-45
413,90.0,500,-47,-41,-45
414,90.0,500,-47,-41,-45
415,90.0,500,-47,-39,-45
416,90.0,500,-47,-41,-45
417,90.0,500,-45,-41,-45
418,90.0,500,-45,-39,-45
419,90.0,500,-51,-39,-45
420,90.0,500,-49,-39,-45
421,90.0,500,-47,-39,-45
422,90.0,500,-47,-39,-45
423,90.0,500,-47,-37,-45
424,90.0,500,-47,-39,-45
425,90.0,500,-47,-39,-45
426,90.0,500,-47,-39,-47
427,90.0,500,-45,-39,-47
428,90.0,500,-43,-39,-47
429,90.0,500,-43,-39,-45
430,90.0,500,-45,-37,-45
431,90.0,500,-45,-41,-45
432,90.0,500,-45,-39,-45
433,90.0,500,-47,-39,-45
434,90.0,500,-45,-37,-47
435,90.0,500,-45,-39,-45
436,90.0,500,-45,-39,-45
437,90.0,500,-45,-39,-45
438,90.0,500,-43,-39,-45
439,90.0,500,-45,-37,-47
440,90.0,500,-43,-39,-47
441,90.0,500,-43,-37,-47
442,90.0,500,-43,-37,-45
443,90.0,500,-45,-37,-47
444,90.0,500,-45,-37,-47
445,90.0,500,-45,-39,-47
446,90.0,500,-43,-39,-47
447,90.0,500,-43,-39,-45
448,90.0,500,-43,-39,-45
449,90.0,500,-43,-39,-45
450,90.0,500,-43,-39,-47
451,90.0,500,-45,-39,-47
452,90.0,500,-45,-39,-45
453,90.0,500,-47,-39,-49
454,90.0,500,-45,-41,-47
455,90.0,500,-45,-41,-49
456,90.0,500,-45,-41,-47
457,90.0,500,-47,-39,-47
458,90.0,500,-45,-39,-47
459,90.0,500,-47,-37,-47
460,90.0,500,-45,-39,-47
461,90.0,500,-45,-39,-47
462,90.0,500,-47,-39,-47
463,90.0,500,-47,-39,-47
464,90.0,500,-47,-37,-47
465,90.0,500,-47,-39,-47
466,90.0,500,-47,-39,-47
467,90.0,500,-47,-39,-47
468,90.0,500,-47,-39,-49
469,90.0,500,-47,-39,-49
470,90.0,500,-47,-37,-49
471,90.0,500,-47,-39,-49
472,90.0,500,-47,-39,-49
473,90.0,500,-47,-39,-49
474,90.0,500,-47,-39,-49
475,90.0,500,-47,-39,-47
476,90.0,500,-47,-39,-49
477,90.0,500,-45,-41,-49
478,90.0,500,-45,-39,-49
479,90.0,500,-45,-39,-49
480,90.0,500,-47,-41,-49
481,90.0,500,-47,-41,-49
482,90.0,500,-45,-39,-49
483,90.0,500,-45,-41,-49
484,90.0,500,-45,-39,-47
485,90.0,500,-45,-39,-47
486,90.0,500,-45,-39,-49
487,90.0,500,-47,-41,-47
488,90.0,500,-45,-39,-47
489,90.0,500,-47,-41,-47
490,90.0,500,-47,-39,-47
491,90.0,500,-47,-41,-47
492,90.0,500,-45,-39,-47
493,90.0,500,-45,-41,-47
494,90.0,500,-47,-41,-47
495,90.0,500,-47,-39,-47
496,90.0,500,-41,-39,-47
497,90.0,500,-47,-39,-47
498,90.0,500,-45,-39,-47
499,90.0,500,-47,-39,-47
500,0.0,375,-39,-43,-39
501,0.0,375,-41,-41,-41
502,0.0,375,-41,-41,-41
503,0.0,375,-39,-43,-41
504,0.0,375,-41,-43,-41
505,0.0,375,-39,-43,-41
506,0.0,375,-41,-41,-41
507,0.0,375,-41,-43,-41
508,0.0,375,-41,-45,-41
509,0.0,375,-39,-43,-41
510,0.0,375,-41,-43,-41
511,0.0,375,-39,-45,-39
512,0.0,375,-41,-41,-41
513,0.0,375,-39,-45,-41
514,0.0,375,-39,-45,-43
515,0.0,375,-41,-41,-41
516,0.0,375,-41,-43,-41
517,0.0,375,-39,-41,-41
518,0.0,375,-39,-43,-43
